rule	status	evidence	note
module	covered	examples/syntax/expressions.kgr	-
item	covered	examples/syntax/attributes.kgr	-
item_decl	covered	examples/syntax/expressions.kgr	-
visibility	covered	examples/imported-traits/generic-model.kgr	-
function_item	covered	examples/syntax/expressions.kgr	-
const_item	covered	examples/standard-library.kgr	-
struct_item	covered	examples/syntax/data-model.kgr	-
enum_item	covered	examples/syntax/data-model.kgr	-
trait_item	covered	examples/syntax/where-bounds.kgr	-
attribute	covered	examples/syntax/attributes.kgr	-
attribute_args	covered	examples/syntax/attributes.kgr	-
attribute_arg_list	covered	examples/syntax/attributes.kgr	-
attribute_arg	covered	examples/syntax/attributes.kgr	-
attribute_value	covered	examples/syntax/attributes.kgr	-
module_decl	covered	examples/syntax/grammar-witnesses.kgr	-
module_block	covered	examples/syntax/grammar-witnesses.kgr	-
use_decl	covered	examples/syntax/import-alias.kgr	-
use_tree	covered	examples/syntax/import-alias.kgr	-
use_tree_group	covered	examples/imported-traits/generic-consumer.kgr	-
use_tree_list	covered	examples/imported-traits/generic-consumer.kgr	-
use_alias	covered	examples/syntax/import-alias.kgr	-
function_decl	covered	examples/syntax/expressions.kgr	-
generic_param_clause	covered	examples/syntax/where-bounds.kgr	-
generic_param	covered	examples/syntax/where-bounds.kgr	-
type_bound_list	covered	examples/syntax/where-bounds.kgr	-
param_list	covered	examples/syntax/expressions.kgr	-
param	covered	examples/syntax/expressions.kgr	-
return_type	covered	examples/syntax/expressions.kgr	-
struct_decl	covered	examples/syntax/data-model.kgr	-
field_list	covered	examples/syntax/data-model.kgr	-
field	covered	examples/syntax/attributes.kgr	-
field_binding	covered	examples/syntax/data-model.kgr	-
enum_decl	covered	examples/syntax/data-model.kgr	-
variant_list	covered	examples/syntax/data-model.kgr	-
variant	covered	examples/syntax/data-model.kgr	-
trait_decl	covered	examples/syntax/where-bounds.kgr	-
supertrait_clause	covered	examples/syntax/trait-inheritance.kgr	-
trait_member	covered	examples/syntax/attributes.kgr	-
associated_type_decl	covered	examples/syntax/generic-associated-types.kgr	-
trait_method	covered	examples/syntax/where-bounds.kgr	-
method_sig	covered	examples/syntax/where-bounds.kgr	-
type_list	covered	examples/syntax/data-model.kgr	-
type	covered	examples/syntax/data-model.kgr	-
qualified_type	covered	examples/syntax/generic-associated-types.kgr	-
